0.3 572536 0.240146 0.950613 0.36 770.361
0.3 580431 0.256397 1.00558 0.38 770.359
0.3 588957 0.274511 1.06014 0.4 770.359
0.3 594904 0.291265 1.10829 0.42 770.315
0.3 604503 0.30999 1.16944 0.44 770.365
0.3 613740 0.329869 1.23528 0.46 770.324
0.3 621880 0.348146 1.28875 0.48 770.288
0.3 632884 0.368142 1.34986 0.5 770.366
0.3 641156 0.38903 1.40833 0.52 770.356
0.3 650434 0.409631 1.46787 0.54 770.358
0.3 661774 0.432223 1.53583 0.56 770.334
0.3 671468 0.454126 1.60459 0.58 770.32
0.3 682054 0.478346 1.66335 0.6 770.374
0.3 692510 0.502183 1.7371 0.62 770.326
0.3 704708 0.526568 1.80363 0.64 770.31
0.3 716120 0.549663 1.87547 0.66 770.37
0.3 728529 0.576871 1.94108 0.68 770.333
0.3 741142 0.606452 2.01734 0.7 770.36
0.3 754592 0.632754 2.09787 0.72 770.333
0.3 767964 0.662854 2.17338 0.74 770.321
0.3 781485 0.692246 2.25052 0.76 770.342
0.3 796316 0.720765 2.32165 0.78 770.346
0.3 810995 0.757725 2.41201 0.8 770.336
0.3 826632 0.789454 2.49512 0.82 770.303
0.3 842993 0.823481 2.57976 0.84 770.342
0.3 859647 0.861431 2.67987 0.86 770.351
0.3 877391 0.898824 2.76561 0.88 770.308
0.3 895809 0.939735 2.85959 0.9 770.337
0.3 914583 0.97939 2.94782 0.92 770.351
0.3 934609 1.02183 3.05441 0.94 770.336
0.3 955363 1.06929 3.16111 0.96 770.316
0.3 976897 1.11401 3.26527 0.98 770.344
0.3 1000000 1.16439 3.37379 1 770.328
0.36 463433 0.0109854 0.196872 0.02 770.421
0.36 468568 0.022255 0.23925 0.04 770.384
0.36 474977 0.0333006 0.279329 0.06 770.402
0.36 478446 0.0454931 0.320016 0.08 770.395
0.36 484868 0.0571826 0.364091 0.1 770.407
0.36 490214 0.0695553 0.4056 0.12 770.429
0.36 496425 0.0827517 0.448399 0.14 770.426
0.36 502491 0.0946106 0.488278 0.16 770.375
